Designator,Footprint,Quantity,Value,LCSC Part #,Matches,Part # ,Manufacturer,Footprint,JLCPCB Part #
C_CSF1,0402,1,100p,,Unconfirmed,0402CG101J500NT,FH (Guangdong Fenghua Advanced Tech),0402,C1546
"C1, C11, C20, C21",0402,4,4.7u,,Select by Customer,GRM155R61E475ME15D,Murata Electronics,0402,C2858031
"C10, C12, C2, C3, C4, C5, C8, C9, CBOOT1, CBOOT2, CFF1, CFF2, COUT1, COUT5",0402,14,100n,,Select by Customer,0402B104K250NT,FH (Guangdong Fenghua Advanced Tech),0402,C56392
"C13, C14, C15, C16, C26, C7",0402,6,1u,,Unconfirmed,CL05A105KA5NQNC,Samsung Electro-Mechanics,0402,C52923
"C17, C18, CIN1, CIN2, CIN3, CIN4",1206,6,4.7u,,Unconfirmed,1206B475K500NT,FH (Guangdong Fenghua Advanced Tech),1206,C29823
C19,0402,1,240n,,Select by Customer,CL05B224KO5NNNC,Samsung Electro-Mechanics,0402,C16772
"C22, C23, C25",0402,3,0.1u,,Select by Customer,0402B104K250NT,FH (Guangdong Fenghua Advanced Tech),0402,C56392
"C24, C27",0402,2,1n,,Unconfirmed,0402B102K500NT,FH (Guangdong Fenghua Advanced Tech),0402,C1523
C28,0402,1,68n,,Unconfirmed,CC0402KRX7R7BB683,YAGEO,0402,C327019
"C29, C31",0402,2,0.1n,,Unconfirmed,0402CG101J500NT,FH (Guangdong Fenghua Advanced Tech),0402,C1546
C30,0603,1,22u,,Unconfirmed,,,,
"C32, C33, C34",0402,3,10p,,Unconfirmed,CL05C100JB5NNNC,Samsung Electro-Mechanics,0402,C32949
C6,0402,1,10n,,Select by Customer,0402B103K500NT,FH (Guangdong Fenghua Advanced Tech),0402,C1524
"CBANK1, CBANK2, CBANK3, CBANK4, CBANK5",2220,5,FS55X105K631EHG,,Select by System,FS55X105K631EHG,PSA(Prosperity Dielectrics),2220,C784102
"CHF1, CHF2",0805,2,220n,,Unconfirmed,CL21B224KBFNNNE,Samsung Electro-Mechanics,0805,C5378
"COUT2, COUT3, COUT4, COUT6, COUT7, COUT8",1210,6,22u,,Select by Customer,GRM32ER71E226KE15L,Murata Electronics,1210,C21397
"D1, D2",D_SOD-882,2,SP3031-01ETG,,Select by System,SP3031-01ETG,Littelfuse,SOD-882,C207283
"D3, D6",D_DO-201AD_P12.70mm_Horizontal,2,1N5822,,Select by System,1N5822,MDD(Microdiode Semiconductor),DO-201AD,C2476
D4,D_SMA,1,D,,Select by Customer,US2M,MDD(Microdiode Semiconductor),SMA,C64958
D5,D_SOD-323,1,1N5819,,Unconfirmed,1N5819WS,Guangdong Hottech,SOD-323,C191023
D7,D_SOD-123,1,D_Schottky,,Select by Customer,B5819W SL,"Jiangsu Changjing Electronics Technology Co., Ltd.",SOD-123,C8598
"D8, D9",D_DO-41_SOD81_P7.62mm_Horizontal,2,HF1600G,,Select by System,HF1600G,LRC,DO-41,C411154
J1,KHBNC503511,1,BNC,,Select by Customer,KH-BNC50-3511,Shenzhen Kinghelm Elec,插件,C2837587
J10,PJ-002B_CUI,1,PJ-002BH,,Select by System,PJ-002BH,CUI,插件,C22359705
J2,SMA_BAT_Wireless_BWSMA-KWE-Z001,1,BWSMA-KWE-Z001,,Select by System,BWSMA-KWE-Z001,BAT WIRELESS,插件,C496551
"J3, J4",SMA_BAT_Wireless_BWSMA-KE-Z001,2,BWSMA-KE-Z001,,Select by System,BWSMA-KE-Z001,BAT WIRELESS,插件,C496549
J5,TYPE-C-TH_TYPE-C-14P-CC-2.6,1,SHOU HAN TYPE-C 14P CC-2.6,,Select by System,TYPE-C 14P CC-2.6,SHOU HAN,插件,C5187475
"J6, J7",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,,Select by Customer,2.54-1*40P直针,BOOMELE(Boom Precision Elec),"插件,P=2.54mm",C2337
"J8, J9",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,,Select by Customer,2.54-1*40P直针,BOOMELE(Boom Precision Elec),"插件,P=2.54mm",C2337
L1,L_TechFuse_SL0630,1,15u,,Select by Customer,SL0630-150M,TECHFUSE,"SMD,7.1x6.6mm",C22463824
L2,L_TechFuse_SL0630,1,12.1u,,Select by Customer,SL0630-100M,TECHFUSE,"SMD,7.1x6.6mm",C22463823
Q1,TO-252-2,1,Q_NMOS_DGS,,Select by Customer,SW4N60,Samwin,TO-252-2,C381523
Q2,SOT-89-3,1,2SA1213,,Select by System,2SA1213,hongjiacheng,SOT-89,C20069144
Q3,GAN080650EBEZ,1,GAN080-650EBE,,Unconfirmed,GAN080-650EBEZ,Nexperia,DFN8080-8,C20235155
R_ADJ1,0402,1,20k,,Select by Customer,0402WGJ0203TCE,UNI-ROYAL(Uniroyal Elec),0402,C25545
R_ADJ2,0402,1,40k,,Select by Customer,GR0402J40KTAG00,GiantOhm,0402,C49654409
