Designator,Mid X,Mid Y,Rotation,Layer
C1,98.425,-107.25,180.0,top
C10,72.25,-108.23,270.0,top
C11,73.25,-108.73,270.0,top
C12,68.925,-110.75,270.0,top
C13,109.425,-115.73,270.0,top
C14,105.425,-115.73,270.0,top
C15,103.925,-115.75,270.0,top
C16,100.675,-115.73,270.0,top
C17,96.35118,-126.0,0.0,top
C18,126.10118,-125.725,0.0,top
C19,158.25,-102.02375,90.0,top
C2,90.925,-91.0,0.0,top
C20,132.4725,-101.025,180.0,top
C21,132.47,-99.44125,180.0,top
C22,132.4725,-98.025,180.0,top
C23,128.75,-92.5,0.0,top
C24,185.75,-69.375,180.0,top
C25,185.75,-68.25,180.0,top
C26,185.75,-67.125,180.0,top
C27,194.2,-67.94,0.0,top
C28,195.75,-71.275,90.0,top
C29,194.2,-66.75,0.0,top
C3,91.675,-106.0,180.0,top
C30,194.18,-65.25,0.0,top
C32,223.5,-113.0,90.0,top
C33,223.5,-115.48,90.0,top
C34,223.5,-105.75,90.0,top
C4,98.425,-106.0,180.0,top
C5,102.145,-95.21,270.0,top
C6,87.25,-100.5,90.0,top
C7,86.0,-100.5,90.0,top
C8,86.0,-98.5,270.0,top
C9,71.25,-108.23,270.0,top
CBANK1,155.675,-82.0,90.0,top
CBANK2,161.925,-82.0,90.0,top
CBANK3,168.175,-82.0,90.0,top
CBANK4,174.425,-82.0,90.0,top
CBANK5,180.675,-82.0,90.0,top
CBOOT1,93.175,-124.25,90.0,top
CBOOT2,122.60118,-124.225,90.0,top
CFF1,90.85118,-132.041104,270.0,top
CFF2,123.60118,-133.475,270.0,top
CHF1,83.35118,-124.25,90.0,top
CHF2,113.35118,-124.225,90.0,top
CIN1,76.85118,-128.25,90.0,top
CIN2,80.10118,-128.25,90.0,top
CIN3,107.85118,-126.475,90.0,top
CIN4,110.70118,-126.475,90.0,top
COUT1,83.60118,-121.5,90.0,top
COUT2,71.85118,-121.75,90.0,top
COUT3,75.85118,-121.75,90.0,top
COUT4,79.85118,-121.75,90.0,top
COUT5,113.10118,-121.225,90.0,top
COUT6,103.10118,-120.975,90.0,top
COUT7,106.85118,-120.975,90.0,top
COUT8,110.60118,-120.975,90.0,top
C_CSF1,112.248586,-81.5,90.0,top
D1,222.25,-116.25,90.0,top
D10,156.25,-103.25,90.0,top
D2,222.25,-105.75,270.0,top
D3,131.62,-107.25,180.0,top
D4,153.675,-90.145,270.0,top
D5,128.501086,-85.8,270.0,top
D6,173.925,-69.5,180.0,top
D7,203.25,-73.75,270.0,top
D8,204.25,-88.5,270.0,top
D9,221.75,-88.5,270.0,top
FB1,187.5,-113.75,0.0,top
H1,154.0,-135.0,0.0,top
H2,229.5,-60.5,0.0,top
H3,229.5,-116.5,0.0,top
H4,66.5,-60.5,0.0,top
J1,72.55,-82.0,90.0,top
J10,65.601179,-129.8716,90.0,top
J2,235.825,-84.75,270.0,top
J3,217.175,-117.29,90.0,top
J4,217.175,-106.96,90.0,top
J5,64.87525,-98.125,270.0,top
J6,89.945,-108.73,90.0,top
J7,100.75,-83.94,180.0,top
J8,81.675,-85.27,0.0,top
J9,85.925,-85.29,0.0,top
L1,88.675,-117.5,180.0,top
L2,118.10118,-117.5,180.0,top
Q1,126.341086,-79.9725,0.0,top
Q2,124.248586,-88.8,90.0,top
Q3,196.85,-82.4625,270.0,top
R1,88.675,-90.98,180.0,top
R10,161.0875,-94.28875,180.0,top
R11,161.0875,-91.96875,180.0,top
R12,162.0,-89.11875,90.0,top
R13,186.425,-86.75,90.0,top
R14,128.489186,-89.5625,90.0,top
R15,199.5,-72.5,0.0,top
R16,199.5,-75.0,0.0,top
R17,225.0,-110.175,270.0,top
R18,225.0,-113.425,270.0,top
R19,225.0,-116.675,270.0,top
R2,63.925,-94.075,90.0,top
R20,225.0,-119.925,270.0,top
R21,208.5,-95.25,90.0,top
R22,217.5,-95.25,90.0,top
R23,225.0,-105.325,90.0,top
R24,225.0,-102.075,90.0,top
R25,229.815,-99.0,180.0,top
R26,161.22,-104.87875,180.0,top
R3,64.175,-103.5,270.0,top
R4,66.585,-103.2005,180.0,top
R5,68.835,-103.2005,180.0,top
R6,161.22,-103.02375,180.0,top
R7,161.22,-101.02375,180.0,top
R8,161.0875,-99.07875,180.0,top
R9,161.0875,-96.65875,180.0,top
RCS1,115.193586,-78.535,180.0,top
RFBB1,90.10118,-129.616104,180.0,top
RFBB2,121.92618,-131.475,180.0,top
RFBT1,92.85118,-132.041104,270.0,top
RFBT2,125.10118,-133.725,270.0,top
RPG1,85.675,-130.0,90.0,top
RPG2,115.60118,-130.25,90.0,top
RP_B1,230.555,-93.0,0.0,top
RP_LIM1,213.0,-75.155,0.0,top
R_ADJ1,191.5,-74.75,0.0,top
R_ADJ2,193.49,-74.75,0.0,top
R_CSF1,113.748586,-81.5,90.0,top
T1,142.675,-89.2,270.0,top
U1,94.665,-98.71,270.0,top
U2,72.5625,-97.45,180.0,top
U3,67.95,-107.0,90.0,top
U4,107.385856,-115.6498,0.0,top
U5,102.245,-115.805,0.0,top
U6,88.525,-125.35,0.0,top
U7,118.20118,-125.175,0.0,top
U8,128.693586,-98.1409,90.0,top
U9,190.55,-71.2125,0.0,top
